Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10nF","C_0805_2012Metric",149.432200,-65.850000,-90.000000,top
"C2","10uF","C_1206_3216Metric",99.930000,-46.315000,90.000000,top
"C3","22uF","C_0805_2012Metric",109.907500,-58.255000,90.000000,top
"C4","100nF","C_0603_1608Metric",111.720000,-58.035000,90.000000,top
"C5","2.2uF","C_0805_2012Metric",106.510000,-42.720000,0.000000,top
"C6","100nF","C_0603_1608Metric",146.765200,-65.850000,-90.000000,top
"C7","1nF","C_0603_1608Metric",153.450000,-59.925000,-90.000000,top
"C8","100uF","CP_EIA-7343-31_Kemet-D",105.690000,-47.080000,180.000000,top
"C9","4.7uF","C_0805_2012Metric",104.470000,-50.880000,0.000000,top
"C10","22uF","C_0805_2012Metric",103.770000,-54.910000,-90.000000,top
"C11","1uF","C_0603_1608Metric",107.140000,-64.895000,-90.000000,top
"C12","10uF","C_0805_2012Metric",92.520000,-60.510000,180.000000,top
"C13","10uF","C_0805_2012Metric",98.607500,-52.125000,180.000000,top
"C16","22uF","C_0805_2012Metric",103.762500,-58.380000,90.000000,top
"D1","red","LED_0805_2012Metric",101.604000,-64.137500,90.000000,top
"D2","green","LED_0805_2012Metric",101.604000,-60.662500,-90.000000,top
"D3","D","D_SOD-123",106.730000,-60.860000,-90.000000,top
"D4","D_TVS","D_SOD-323",95.060000,-53.050000,-90.000000,top
"D5","D_TVS","D_SOD-323",84.260000,-58.800000,0.000000,top
"D6","D_TVS","DFN1006-2",153.410000,-45.550000,90.000000,top
"D7","D_TVS","DFN1006-2",154.290000,-50.920000,90.000000,top
"D8","D_TVS","DFN1006-2",153.070000,-52.860000,90.000000,top
"D9","D_TVS","DFN1006-2",154.240000,-54.810000,90.000000,top
"D10","D_TVS","DFN1006-2",153.460000,-57.360000,-90.000000,top
"H2","MountingHole","MountingHole_3.2mm_M3",156.315600,-64.795600,0.000000,top
"H3","MountingHole","ToolingHole_1.152mm",122.732800,-64.973200,0.000000,top
"H5","MountingHole","ToolingHole_1.152mm",96.215200,-37.896800,0.000000,top
"H6","MountingHole","ToolingHole_1.152mm",151.674400,-38.467800,0.000000,top
"J1","batt","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",92.100400,-51.866800,-90.000000,top
"J2","Extension","JST_PH_S6B-PH-K_1x06_P2.00mm_Horizontal",156.899800,-57.790800,90.000000,top
"J3","USB_C_Receptacle_PowerOnly_6P","USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal",87.010000,-66.200000,0.000000,top
"L1","6.8uH","FXL0420",93.268800,-43.281600,-90.000000,top
"L2","3uH","FNR5020S3R0NT",109.090000,-54.730000,180.000000,top
"R1","2MΩ","R_0603_1608Metric",103.185000,-43.550000,0.000000,top
"R2","33Ω","R_0603_1608Metric",134.433000,-59.575000,0.000000,top
"R3","33Ω","R_0603_1608Metric",134.433000,-56.870800,0.000000,top
"R4","330kΩ","R_0603_1608Metric",103.185000,-41.800000,180.000000,top
"R5","2MΩ","R_0603_1608Metric",102.485000,-40.210000,180.000000,top
"R6","33Ω","R_0603_1608Metric",133.748200,-63.373200,180.000000,top
"R7","0Ω","R_0603_1608Metric",153.260000,-48.890000,180.000000,top
"R8","220kΩ","R_0603_1608Metric",102.485000,-38.660000,0.000000,top
"R9","1MΩ","R_0603_1608Metric",106.235000,-37.775000,0.000000,top
"R10","4.7kΩ","R_0603_1608Metric",111.950000,-38.675000,-90.000000,top
"R11","3kΩ","R_0603_1608Metric",97.835000,-54.185000,180.000000,top
"R12","0Ω","R_0603_1608Metric",150.210000,-42.000000,-90.000000,top
"R13","1kΩ","R_0603_1608Metric",101.110000,-57.310000,90.000000,top
"R14","1kΩ","R_0603_1608Metric",100.785000,-67.150000,180.000000,top
"R15","1Ω","R_1206_3216Metric",96.897500,-64.400000,0.000000,top
"R16","5.1kΩ","R_0603_1608Metric",84.110000,-60.600000,0.000000,top
"R17","5.1kΩ","R_0603_1608Metric",87.160000,-60.600000,180.000000,top
"R18","10kΩ","R_0603_1608Metric",148.581800,-63.271600,180.000000,top
"R19","1Ω","R_1206_3216Metric",96.897500,-66.750000,0.000000,top
"R20","0Ω","R_0603_1608Metric",156.531000,-44.475600,180.000000,top
"R21","100kΩ","R_0603_1608Metric",92.569800,-47.142400,0.000000,top
"R22","100kΩ","R_0603_1608Metric",91.846400,-38.671000,90.000000,top
"R23","1Ω","R_0603_1608Metric",106.345000,-57.390000,180.000000,top
"R24","1Ω","R_0603_1608Metric",106.332500,-55.850000,180.000000,top
"SW1","SW_DPDT_x2","SW_Slide_SPDT_Angled_CK_OS102011MA1Q",88.138000,-40.839200,-90.000000,top
"U1","TP4056","TP4056_ESOP8",97.307500,-58.810000,-90.000000,top
"U2","~","Slime_IMU_mumo",143.896600,-52.681400,180.000000,top
"U3","TPS7A0333PDBVR","SOT-23-5",110.971100,-64.074200,0.000000,top
"U4","ESP32 SUPER MINI C3","esp32",122.820000,-65.921600,180.000000,top
"U5","TPS61090","QFN-16-1EP_4x4mm_P0.65mm_EP2.7x2.7mm_PullBack_ThermalVias",97.885000,-41.732500,0.000000,top
